Index,Concept Code,Concept Name,Preferred Concept Name
671,17147,Piatt,"Piatt, IL"
672,17149,Pike,"Pike, IL"
673,17151,Pope,"Pope, IL"
674,17153,Pulaski,"Pulaski, IL"
675,17155,Putnam,"Putnam, IL"
676,17157,Randolph,"Randolph, IL"
677,17159,Richland,"Richland, IL"
678,17161,Rock Island,"Rock Island, IL"
679,17163,St. Clair,"St. Clair, IL"
680,17165,Saline,"Saline, IL"
681,17167,Sangamon,"Sangamon, IL"
682,17169,Schuyler,"Schuyler, IL"
683,17171,Scott,"Scott, IL"
684,17173,Shelby,"Shelby, IL"
685,17175,Stark,"Stark, IL"
686,17177,Stephenson,"Stephenson, IL"
687,17179,Tazewell,"Tazewell, IL"
688,17181,Union,"Union, IL"
689,17183,Vermilion,"Vermilion, IL"
690,17185,Wabash,"Wabash, IL"
691,17187,Warren,"Warren, IL"
692,17189,Washington,"Washington, IL"
693,17191,Wayne,"Wayne, IL"
694,17193,White,"White, IL"
695,17195,Whiteside,"Whiteside, IL"
696,17197,Will,"Will, IL"
697,17199,Williamson,"Williamson, IL"
698,17201,Winnebago,"Winnebago, IL"
699,17203,Woodford,"Woodford, IL"
700,18001,Adams,"Adams, IN"
701,18003,Allen,"Allen, IN"
702,18005,Bartholomew,"Bartholomew, IN"
703,18007,Benton,"Benton, IN"
704,18009,Blackford,"Blackford, IN"
705,18011,Boone,"Boone, IN"
706,18013,Brown,"Brown, IN"
707,18015,Carroll,"Carroll, IN"
708,18017,Cass,"Cass, IN"
709,18019,Clark,"Clark, IN"
710,18021,Clay,"Clay, IN"
711,18023,Clinton,"Clinton, IN"
712,18025,Crawford,"Crawford, IN"
713,18027,Daviess,"Daviess, IN"
714,18029,Dearborn,"Dearborn, IN"
715,18031,Decatur,"Decatur, IN"
716,18033,DeKalb,"DeKalb, IN"
717,18035,Delaware,"Delaware, IN"
718,18037,Dubois,"Dubois, IN"
719,18039,Elkhart,"Elkhart, IN"
720,18041,Fayette,"Fayette, IN"
721,18043,Floyd,"Floyd, IN"
722,18045,Fountain,"Fountain, IN"
723,18047,Franklin,"Franklin, IN"
724,18049,Fulton,"Fulton, IN"
725,18051,Gibson,"Gibson, IN"
726,18053,Grant,"Grant, IN"
727,18055,Greene,"Greene, IN"
728,18057,Hamilton,"Hamilton, IN"
729,18059,Hancock,"Hancock, IN"
730,18061,Harrison,"Harrison, IN"
731,18063,Hendricks,"Hendricks, IN"
732,18065,Henry,"Henry, IN"
733,18067,Howard,"Howard, IN"
734,18069,Huntington,"Huntington, IN"
735,18071,Jackson,"Jackson, IN"
736,18073,Jasper,"Jasper, IN"
737,18075,Jay,"Jay, IN"
738,18077,Jefferson,"Jefferson, IN"
739,18079,Jennings,"Jennings, IN"
740,18081,Johnson,"Johnson, IN"
741,18083,Knox,"Knox, IN"
742,18085,Kosciusko,"Kosciusko, IN"
743,18087,LaGrange,"LaGrange, IN"
744,18089,Lake,"Lake, IN"
745,18091,LaPorte,"LaPorte, IN"
746,18093,Lawrence,"Lawrence, IN"
747,18095,Madison,"Madison, IN"
748,18097,Marion,"Marion, IN"
749,18099,Marshall,"Marshall, IN"
750,18101,Martin,"Martin, IN"
751,18103,Miami,"Miami, IN"
752,18105,Monroe,"Monroe, IN"
753,18107,Montgomery,"Montgomery, IN"
754,18109,Morgan,"Morgan, IN"
755,18111,Newton,"Newton, IN"
756,18113,Noble,"Noble, IN"
757,18115,Ohio,"Ohio, IN"
758,18117,Orange,"Orange, IN"
759,18119,Owen,"Owen, IN"
760,18121,Parke,"Parke, IN"
761,18123,Perry,"Perry, IN"
762,18125,Pike,"Pike, IN"
763,18127,Porter,"Porter, IN"
764,18129,Posey,"Posey, IN"
765,18131,Pulaski,"Pulaski, IN"
766,18133,Putnam,"Putnam, IN"
767,18135,Randolph,"Randolph, IN"
768,18137,Ripley,"Ripley, IN"
769,18139,Rush,"Rush, IN"
770,18141,St. Joseph,"St. Joseph, IN"
771,18143,Scott,"Scott, IN"
772,18145,Shelby,"Shelby, IN"
773,18147,Spencer,"Spencer, IN"
774,18149,Starke,"Starke, IN"
775,18151,Steuben,"Steuben, IN"
776,18153,Sullivan,"Sullivan, IN"
777,18155,Switzerland,"Switzerland, IN"
778,18157,Tippecanoe,"Tippecanoe, IN"
779,18159,Tipton,"Tipton, IN"
780,18161,Union,"Union, IN"
781,18163,Vanderburgh,"Vanderburgh, IN"
782,18165,Vermillion,"Vermillion, IN"
783,18167,Vigo,"Vigo, IN"
784,18169,Wabash,"Wabash, IN"
785,18171,Warren,"Warren, IN"
786,18173,Warrick,"Warrick, IN"
787,18175,Washington,"Washington, IN"
788,18177,Wayne,"Wayne, IN"
789,18179,Wells,"Wells, IN"
790,18181,White,"White, IN"
791,18183,Whitley,"Whitley, IN"
792,19001,Adair,"Adair, IA"
793,19003,Adams,"Adams, IA"
794,19005,Allamakee,"Allamakee, IA"
795,19007,Appanoose,"Appanoose, IA"
796,19009,Audubon,"Audubon, IA"
797,19011,Benton,"Benton, IA"
798,19013,Black Hawk,"Black Hawk, IA"
799,19015,Boone,"Boone, IA"
800,19017,Bremer,"Bremer, IA"
801,19019,Buchanan,"Buchanan, IA"
802,19021,Buena Vista,"Buena Vista, IA"
803,19023,Butler,"Butler, IA"
804,19025,Calhoun,"Calhoun, IA"
805,19027,Carroll,"Carroll, IA"
806,19029,Cass,"Cass, IA"
807,19031,Cedar,"Cedar, IA"
808,19033,Cerro Gordo,"Cerro Gordo, IA"
809,19035,Cherokee,"Cherokee, IA"
810,19037,Chickasaw,"Chickasaw, IA"
811,19039,Clarke,"Clarke, IA"
812,19041,Clay,"Clay, IA"
813,19043,Clayton,"Clayton, IA"
814,19045,Clinton,"Clinton, IA"
815,19047,Crawford,"Crawford, IA"
816,19049,Dallas,"Dallas, IA"
817,19051,Davis,"Davis, IA"
818,19053,Decatur,"Decatur, IA"
819,19055,Delaware,"Delaware, IA"
820,19057,Des Moines,"Des Moines, IA"
821,19059,Dickinson,"Dickinson, IA"
822,19061,Dubuque,"Dubuque, IA"
823,19063,Emmet,"Emmet, IA"
824,19065,Fayette,"Fayette, IA"
825,19067,Floyd,"Floyd, IA"
826,19069,Franklin,"Franklin, IA"
827,19071,Fremont,"Fremont, IA"
828,19073,Greene,"Greene, IA"
829,19075,Grundy,"Grundy, IA"
830,19077,Guthrie,"Guthrie, IA"
831,19079,Hamilton,"Hamilton, IA"
832,19081,Hancock,"Hancock, IA"
833,19083,Hardin,"Hardin, IA"
834,19085,Harrison,"Harrison, IA"
835,19087,Henry,"Henry, IA"
836,19089,Howard,"Howard, IA"
837,19091,Humboldt,"Humboldt, IA"
838,19093,Ida,"Ida, IA"
839,19095,Iowa,"Iowa, IA"
840,19097,Jackson,"Jackson, IA"
841,19099,Jasper,"Jasper, IA"
842,19101,Jefferson,"Jefferson, IA"
843,19103,Johnson,"Johnson, IA"
844,19105,Jones,"Jones, IA"
845,19107,Keokuk,"Keokuk, IA"
846,19109,Kossuth,"Kossuth, IA"
847,19111,Lee,"Lee, IA"
848,19113,Linn,"Linn, IA"
849,19115,Louisa,"Louisa, IA"
850,19117,Lucas,"Lucas, IA"
851,19119,Lyon,"Lyon, IA"
852,19121,Madison,"Madison, IA"
853,19123,Mahaska,"Mahaska, IA"
854,19125,Marion,"Marion, IA"
855,19127,Marshall,"Marshall, IA"
856,19129,Mills,"Mills, IA"
857,19131,Mitchell,"Mitchell, IA"
858,19133,Monona,"Monona, IA"
859,19135,Monroe,"Monroe, IA"
860,19137,Montgomery,"Montgomery, IA"
861,19139,Muscatine,"Muscatine, IA"
862,19141,O'Brien,"O'Brien, IA"
863,19143,Osceola,"Osceola, IA"
864,19145,Page,"Page, IA"
865,19147,Palo Alto,"Palo Alto, IA"
866,19149,Plymouth,"Plymouth, IA"
867,19151,Pocahontas,"Pocahontas, IA"
868,19153,Polk,"Polk, IA"
869,19155,Pottawattamie,"Pottawattamie, IA"
870,19157,Poweshiek,"Poweshiek, IA"
871,19159,Ringgold,"Ringgold, IA"
872,19161,Sac,"Sac, IA"
873,19163,Scott,"Scott, IA"
874,19165,Shelby,"Shelby, IA"
875,19167,Sioux,"Sioux, IA"
876,19169,Story,"Story, IA"
877,19171,Tama,"Tama, IA"
878,19173,Taylor,"Taylor, IA"
879,19175,Union,"Union, IA"
880,19177,Van Buren,"Van Buren, IA"
881,19179,Wapello,"Wapello, IA"
882,19181,Warren,"Warren, IA"
883,19183,Washington,"Washington, IA"
884,19185,Wayne,"Wayne, IA"
885,19187,Webster,"Webster, IA"
886,19189,Winnebago,"Winnebago, IA"
887,19191,Winneshiek,"Winneshiek, IA"
888,19193,Woodbury,"Woodbury, IA"
889,19195,Worth,"Worth, IA"
890,19197,Wright,"Wright, IA"
891,20001,Allen,"Allen, KS"
892,20003,Anderson,"Anderson, KS"
893,20005,Atchison,"Atchison, KS"
894,20007,Barber,"Barber, KS"
895,20009,Barton,"Barton, KS"
896,20011,Bourbon,"Bourbon, KS"
897,20013,Brown,"Brown, KS"
898,20015,Butler,"Butler, KS"
899,20017,Chase,"Chase, KS"
900,20019,Chautauqua,"Chautauqua, KS"
901,20021,Cherokee,"Cherokee, KS"
902,20023,Cheyenne,"Cheyenne, KS"
903,20025,Clark,"Clark, KS"
904,20027,Clay,"Clay, KS"
905,20029,Cloud,"Cloud, KS"
906,20031,Coffey,"Coffey, KS"
907,20033,Comanche,"Comanche, KS"
908,20035,Cowley,"Cowley, KS"
909,20037,Crawford,"Crawford, KS"
910,20039,Decatur,"Decatur, KS"
911,20041,Dickinson,"Dickinson, KS"
912,20043,Doniphan,"Doniphan, KS"
913,20045,Douglas,"Douglas, KS"
914,20047,Edwards,"Edwards, KS"
915,20049,Elk,"Elk, KS"
916,20051,Ellis,"Ellis, KS"
917,20053,Ellsworth,"Ellsworth, KS"
918,20055,Finney,"Finney, KS"
919,20057,Ford,"Ford, KS"
920,20059,Franklin,"Franklin, KS"
921,20061,Geary,"Geary, KS"
922,20063,Gove,"Gove, KS"
923,20065,Graham,"Graham, KS"
924,20067,Grant,"Grant, KS"
925,20069,Gray,"Gray, KS"
926,20071,Greeley,"Greeley, KS"
927,20073,Greenwood,"Greenwood, KS"
928,20075,Hamilton,"Hamilton, KS"
929,20077,Harper,"Harper, KS"
930,20079,Harvey,"Harvey, KS"
931,20081,Haskell,"Haskell, KS"
932,20083,Hodgeman,"Hodgeman, KS"
933,20085,Jackson,"Jackson, KS"
934,20087,Jefferson,"Jefferson, KS"
935,20089,Jewell,"Jewell, KS"
936,20091,Johnson,"Johnson, KS"
937,20093,Kearny,"Kearny, KS"
938,20095,Kingman,"Kingman, KS"
939,20097,Kiowa,"Kiowa, KS"
940,20099,Labette,"Labette, KS"
941,20101,Lane,"Lane, KS"
942,20103,Leavenworth,"Leavenworth, KS"
943,20105,Lincoln,"Lincoln, KS"
944,20107,Linn,"Linn, KS"
945,20109,Logan,"Logan, KS"
946,20111,Lyon,"Lyon, KS"
947,20113,McPherson,"McPherson, KS"
948,20115,Marion,"Marion, KS"
949,20117,Marshall,"Marshall, KS"
950,20119,Meade,"Meade, KS"
951,20121,Miami,"Miami, KS"
952,20123,Mitchell,"Mitchell, KS"
953,20125,Montgomery,"Montgomery, KS"
954,20127,Morris,"Morris, KS"
955,20129,Morton,"Morton, KS"
956,20131,Nemaha,"Nemaha, KS"
957,20133,Neosho,"Neosho, KS"
958,20135,Ness,"Ness, KS"
959,20137,Norton,"Norton, KS"
960,20139,Osage,"Osage, KS"
961,20141,Osborne,"Osborne, KS"
962,20143,Ottawa,"Ottawa, KS"
963,20145,Pawnee,"Pawnee, KS"
964,20147,Phillips,"Phillips, KS"
965,20149,Pottawatomie,"Pottawatomie, KS"
966,20151,Pratt,"Pratt, KS"
967,20153,Rawlins,"Rawlins, KS"
968,20155,Reno,"Reno, KS"
969,20157,Republic,"Republic, KS"
970,20159,Rice,"Rice, KS"
971,20161,Riley,"Riley, KS"
972,20163,Rooks,"Rooks, KS"
973,20165,Rush,"Rush, KS"
974,20167,Russell,"Russell, KS"
975,20169,Saline,"Saline, KS"
976,20171,Scott,"Scott, KS"
977,20173,Sedgwick,"Sedgwick, KS"
978,20175,Seward,"Seward, KS"
979,20177,Shawnee,"Shawnee, KS"
980,20179,Sheridan,"Sheridan, KS"
981,20181,Sherman,"Sherman, KS"
982,20183,Smith,"Smith, KS"
983,20185,Stafford,"Stafford, KS"
984,20187,Stanton,"Stanton, KS"
985,20189,Stevens,"Stevens, KS"
986,20191,Sumner,"Sumner, KS"
987,20193,Thomas,"Thomas, KS"
988,20195,Trego,"Trego, KS"
989,20197,Wabaunsee,"Wabaunsee, KS"
990,20199,Wallace,"Wallace, KS"
991,20201,Washington,"Washington, KS"
992,20203,Wichita,"Wichita, KS"
993,20205,Wilson,"Wilson, KS"
994,20207,Woodson,"Woodson, KS"
995,20209,Wyandotte,"Wyandotte, KS"
996,21001,Adair,"Adair, KY"
997,21003,Allen,"Allen, KY"
998,21005,Anderson,"Anderson, KY"
999,21007,Ballard,"Ballard, KY"
1000,21009,Barren,"Barren, KY"
1001,21011,Bath,"Bath, KY"
1002,21013,Bell,"Bell, KY"
1003,21015,Boone,"Boone, KY"
1004,21017,Bourbon,"Bourbon, KY"
1005,21019,Boyd,"Boyd, KY"
1006,21021,Boyle,"Boyle, KY"
1007,21023,Bracken,"Bracken, KY"
1008,21025,Breathitt,"Breathitt, KY"
1009,21027,Breckinridge,"Breckinridge, KY"
1010,21029,Bullitt,"Bullitt, KY"
1011,21031,Butler,"Butler, KY"
1012,21033,Caldwell,"Caldwell, KY"
1013,21035,Calloway,"Calloway, KY"
1014,21037,Campbell,"Campbell, KY"
1015,21039,Carlisle,"Carlisle, KY"
1016,21041,Carroll,"Carroll, KY"
1017,21043,Carter,"Carter, KY"
1018,21045,Casey,"Casey, KY"
1019,21047,Christian,"Christian, KY"
1020,21049,Clark,"Clark, KY"
1021,21051,Clay,"Clay, KY"
1022,21053,Clinton,"Clinton, KY"
1023,21055,Crittenden,"Crittenden, KY"
1024,21057,Cumberland,"Cumberland, KY"
1025,21059,Daviess,"Daviess, KY"
1026,21061,Edmonson,"Edmonson, KY"
1027,21063,Elliott,"Elliott, KY"
1028,21065,Estill,"Estill, KY"
1029,21067,Fayette,"Fayette, KY"
1030,21069,Fleming,"Fleming, KY"
1031,21071,Floyd,"Floyd, KY"
1032,21073,Franklin,"Franklin, KY"
1033,21075,Fulton,"Fulton, KY"
1034,21077,Gallatin,"Gallatin, KY"
1035,21079,Garrard,"Garrard, KY"
1036,21081,Grant,"Grant, KY"
1037,21083,Graves,"Graves, KY"
1038,21085,Grayson,"Grayson, KY"
1039,21087,Green,"Green, KY"
1040,21089,Greenup,"Greenup, KY"
1041,21091,Hancock,"Hancock, KY"
1042,21093,Hardin,"Hardin, KY"
1043,21095,Harlan,"Harlan, KY"
1044,21097,Harrison,"Harrison, KY"
1045,21099,Hart,"Hart, KY"
1046,21101,Henderson,"Henderson, KY"
1047,21103,Henry,"Henry, KY"
1048,21105,Hickman,"Hickman, KY"
1049,21107,Hopkins,"Hopkins, KY"
1050,21109,Jackson,"Jackson, KY"
1051,21111,Jefferson,"Jefferson, KY"
1052,21113,Jessamine,"Jessamine, KY"
1053,21115,Johnson,"Johnson, KY"
1054,21117,Kenton,"Kenton, KY"
1055,21119,Knott,"Knott, KY"
1056,21121,Knox,"Knox, KY"
1057,21123,Larue,"Larue, KY"
1058,21125,Laurel,"Laurel, KY"
1059,21127,Lawrence,"Lawrence, KY"
1060,21129,Lee,"Lee, KY"
1061,21131,Leslie,"Leslie, KY"
1062,21133,Letcher,"Letcher, KY"
1063,21135,Lewis,"Lewis, KY"
1064,21137,Lincoln,"Lincoln, KY"
1065,21139,Livingston,"Livingston, KY"
1066,21141,Logan,"Logan, KY"
1067,21143,Lyon,"Lyon, KY"
1068,21145,McCracken,"McCracken, KY"
1069,21147,McCreary,"McCreary, KY"
1070,21149,McLean,"McLean, KY"
1071,21151,Madison,"Madison, KY"
1072,21153,Magoffin,"Magoffin, KY"
1073,21155,Marion,"Marion, KY"
1074,21157,Marshall,"Marshall, KY"
1075,21159,Martin,"Martin, KY"
1076,21161,Mason,"Mason, KY"
1077,21163,Meade,"Meade, KY"
1078,21165,Menifee,"Menifee, KY"
1079,21167,Mercer,"Mercer, KY"
1080,21169,Metcalfe,"Metcalfe, KY"
1081,21171,Monroe,"Monroe, KY"
1082,21173,Montgomery,"Montgomery, KY"
1083,21175,Morgan,"Morgan, KY"
1084,21177,Muhlenberg,"Muhlenberg, KY"
1085,21179,Nelson,"Nelson, KY"
1086,21181,Nicholas,"Nicholas, KY"
1087,21183,Ohio,"Ohio, KY"
1088,21185,Oldham,"Oldham, KY"
1089,21187,Owen,"Owen, KY"
1090,21189,Owsley,"Owsley, KY"
1091,21191,Pendleton,"Pendleton, KY"
1092,21193,Perry,"Perry, KY"
1093,21195,Pike,"Pike, KY"
1094,21197,Powell,"Powell, KY"
1095,21199,Pulaski,"Pulaski, KY"
1096,21201,Robertson,"Robertson, KY"
1097,21203,Rockcastle,"Rockcastle, KY"
1098,21205,Rowan,"Rowan, KY"
1099,21207,Russell,"Russell, KY"
1100,21209,Scott,"Scott, KY"
1101,21211,Shelby,"Shelby, KY"
1102,21213,Simpson,"Simpson, KY"
1103,21215,Spencer,"Spencer, KY"
1104,21217,Taylor,"Taylor, KY"
1105,21219,Todd,"Todd, KY"
1106,21221,Trigg,"Trigg, KY"
1107,21223,Trimble,"Trimble, KY"
1108,21225,Union,"Union, KY"
1109,21227,Warren,"Warren, KY"
1110,21229,Washington,"Washington, KY"
1111,21231,Wayne,"Wayne, KY"
1112,21233,Webster,"Webster, KY"
1113,21235,Whitley,"Whitley, KY"
1114,21237,Wolfe,"Wolfe, KY"
1115,21239,Woodford,"Woodford, KY"
1116,22001,Acadia Parish,"Acadia Parish, LA"
1117,22003,Allen Parish,"Allen Parish, LA"
1118,22005,Ascension Parish,"Ascension Parish, LA"
1119,22007,Assumption Parish,"Assumption Parish, LA"
1120,22009,Avoyelles Parish,"Avoyelles Parish, LA"
1121,22011,Beauregard Parish,"Beauregard Parish, LA"
1122,22013,Bienville Parish,"Bienville Parish, LA"
1123,22015,Bossier Parish,"Bossier Parish, LA"
1124,22017,Caddo Parish,"Caddo Parish, LA"
1125,22019,Calcasieu Parish,"Calcasieu Parish, LA"
1126,22021,Caldwell Parish,"Caldwell Parish, LA"
1127,22023,Cameron Parish,"Cameron Parish, LA"
1128,22025,Catahoula Parish,"Catahoula Parish, LA"
1129,22027,Claiborne Parish,"Claiborne Parish, LA"
1130,22029,Concordia Parish,"Concordia Parish, LA"
1131,22031,De Soto Parish,"De Soto Parish, LA"
1132,22033,East Baton Rouge Parish,"East Baton Rouge Parish, LA"
1133,22035,East Carroll Parish,"East Carroll Parish, LA"
1134,22037,East Feliciana Parish,"East Feliciana Parish, LA"
1135,22039,Evangeline Parish,"Evangeline Parish, LA"
1136,22041,Franklin Parish,"Franklin Parish, LA"
1137,22043,Grant Parish,"Grant Parish, LA"
1138,22045,Iberia Parish,"Iberia Parish, LA"
1139,22047,Iberville Parish,"Iberville Parish, LA"
1140,22049,Jackson Parish,"Jackson Parish, LA"
1141,22051,Jefferson Parish,"Jefferson Parish, LA"
1142,22053,Jefferson Davis Parish,"Jefferson Davis Parish, LA"
1143,22055,Lafayette Parish,"Lafayette Parish, LA"
1144,22057,Lafourche Parish,"Lafourche Parish, LA"
1145,22059,La Salle Parish,"La Salle Parish, LA"
1146,22061,Lincoln Parish,"Lincoln Parish, LA"
1147,22063,Livingston Parish,"Livingston Parish, LA"
1148,22065,Madison Parish,"Madison Parish, LA"
1149,22067,Morehouse Parish,"Morehouse Parish, LA"
1150,22069,Natchitoches Parish,"Natchitoches Parish, LA"
1151,22071,Orleans Parish,"Orleans Parish, LA"
1152,22073,Ouachita Parish,"Ouachita Parish, LA"
1153,22075,Plaquemines Parish,"Plaquemines Parish, LA"
1154,22077,Pointe Coupee Parish,"Pointe Coupee Parish, LA"
1155,22079,Rapides Parish,"Rapides Parish, LA"
1156,22081,Red River Parish,"Red River Parish, LA"
1157,22083,Richland Parish,"Richland Parish, LA"
1158,22085,Sabine Parish,"Sabine Parish, LA"
1159,22087,St. Bernard Parish,"St. Bernard Parish, LA"
1160,22089,St. Charles Parish,"St. Charles Parish, LA"
1161,22091,St. Helena Parish,"St. Helena Parish, LA"
1162,22093,St. James Parish,"St. James Parish, LA"
1163,22095,St. John the Baptist Parish,"St. John the Baptist Parish, LA"
1164,22097,St. Landry Parish,"St. Landry Parish, LA"
1165,22099,St. Martin Parish,"St. Martin Parish, LA"
1166,22101,St. Mary Parish,"St. Mary Parish, LA"
1167,22103,St. Tammany Parish,"St. Tammany Parish, LA"
1168,22105,Tangipahoa Parish,"Tangipahoa Parish, LA"
1169,22107,Tensas Parish,"Tensas Parish, LA"
1170,22109,Terrebonne Parish,"Terrebonne Parish, LA"
1171,22111,Union Parish,"Union Parish, LA"
1172,22113,Vermilion Parish,"Vermilion Parish, LA"
1173,22115,Vernon Parish,"Vernon Parish, LA"
1174,22117,Washington Parish,"Washington Parish, LA"
1175,22119,Webster Parish,"Webster Parish, LA"
1176,22121,West Baton Rouge Parish,"West Baton Rouge Parish, LA"
1177,22123,West Carroll Parish,"West Carroll Parish, LA"
1178,22125,West Feliciana Parish,"West Feliciana Parish, LA"
1179,22127,Winn Parish,"Winn Parish, LA"
1180,23001,Androscoggin,"Androscoggin, ME"
1181,23003,Aroostook,"Aroostook, ME"
1182,23005,Cumberland,"Cumberland, ME"
1183,23007,Franklin,"Franklin, ME"
1184,23009,Hancock,"Hancock, ME"
1185,23011,Kennebec,"Kennebec, ME"
1186,23013,Knox,"Knox, ME"
1187,23015,Lincoln,"Lincoln, ME"
1188,23017,Oxford,"Oxford, ME"
1189,23019,Penobscot,"Penobscot, ME"
1190,23021,Piscataquis,"Piscataquis, ME"
1191,23023,Sagadahoc,"Sagadahoc, ME"
1192,23025,Somerset,"Somerset, ME"
1193,23027,Waldo,"Waldo, ME"
1194,23029,Washington,"Washington, ME"
1195,23031,York,"York, ME"
1196,24001,Allegany,"Allegany, MD"
1197,24003,Anne Arundel,"Anne Arundel, MD"
1198,24005,Baltimore,"Baltimore, MD"
1199,24009,Calvert,"Calvert, MD"
1200,24011,Caroline,"Caroline, MD"
1201,24013,Carroll,"Carroll, MD"
1202,24015,Cecil,"Cecil, MD"
1203,24017,Charles,"Charles, MD"
1204,24019,Dorchester,"Dorchester, MD"
1205,24021,Frederick,"Frederick, MD"
1206,24023,Garrett,"Garrett, MD"
1207,24025,Harford,"Harford, MD"
1208,24027,Howard,"Howard, MD"
1209,24029,Kent,"Kent, MD"
1210,24031,Montgomery,"Montgomery, MD"
1211,24033,Prince George's,"Prince George's, MD"
1212,24035,Queen Anne's,"Queen Anne's, MD"
1213,24037,St. Mary's,"St. Mary's, MD"
1214,24039,Somerset,"Somerset, MD"
1215,24041,Talbot,"Talbot, MD"
1216,24043,Washington,"Washington, MD"
1217,24045,Wicomico,"Wicomico, MD"
1218,24047,Worcester,"Worcester, MD"
1219,24510,Baltimore city,"Baltimore city, MD"
1220,25001,Barnstable,"Barnstable, MA"
1221,25003,Berkshire,"Berkshire, MA"
1222,25005,Bristol,"Bristol, MA"
1223,25007,Dukes,"Dukes, MA"
1224,25009,Essex,"Essex, MA"
1225,25011,Franklin,"Franklin, MA"
1226,25013,Hampden,"Hampden, MA"
1227,25015,Hampshire,"Hampshire, MA"
1228,25017,Middlesex,"Middlesex, MA"
1229,25019,Nantucket,"Nantucket, MA"
1230,25021,Norfolk,"Norfolk, MA"
1231,25023,Plymouth,"Plymouth, MA"
1232,25025,Suffolk,"Suffolk, MA"
1233,25027,Worcester,"Worcester, MA"
1234,26001,Alcona,"Alcona, MI"
1235,26003,Alger,"Alger, MI"
1236,26005,Allegan,"Allegan, MI"
1237,26007,Alpena,"Alpena, MI"
1238,26009,Antrim,"Antrim, MI"
1239,26011,Arenac,"Arenac, MI"
1240,26013,Baraga,"Baraga, MI"
1241,26015,Barry,"Barry, MI"
1242,26017,Bay,"Bay, MI"
1243,26019,Benzie,"Benzie, MI"
1244,26021,Berrien,"Berrien, MI"
1245,26023,Branch,"Branch, MI"
1246,26025,Calhoun,"Calhoun, MI"
1247,26027,Cass,"Cass, MI"
1248,26029,Charlevoix,"Charlevoix, MI"
1249,26031,Cheboygan,"Cheboygan, MI"
1250,26033,Chippewa,"Chippewa, MI"
1251,26035,Clare,"Clare, MI"
1252,26037,Clinton,"Clinton, MI"
1253,26039,Crawford,"Crawford, MI"
1254,26041,Delta,"Delta, MI"
1255,26043,Dickinson,"Dickinson, MI"
1256,26045,Eaton,"Eaton, MI"
1257,26047,Emmet,"Emmet, MI"
1258,26049,Genesee,"Genesee, MI"
1259,26051,Gladwin,"Gladwin, MI"
1260,26053,Gogebic,"Gogebic, MI"
1261,26055,Grand Traverse,"Grand Traverse, MI"
1262,26057,Gratiot,"Gratiot, MI"
1263,26059,Hillsdale,"Hillsdale, MI"
1264,26061,Houghton,"Houghton, MI"
1265,26063,Huron,"Huron, MI"
1266,26065,Ingham,"Ingham, MI"
1267,26067,Ionia,"Ionia, MI"
1268,26069,Iosco,"Iosco, MI"
1269,26071,Iron,"Iron, MI"
1270,26073,Isabella,"Isabella, MI"
1271,26075,Jackson,"Jackson, MI"
1272,26077,Kalamazoo,"Kalamazoo, MI"
1273,26079,Kalkaska,"Kalkaska, MI"
1274,26081,Kent,"Kent, MI"
1275,26083,Keweenaw,"Keweenaw, MI"
1276,26085,Lake,"Lake, MI"
1277,26087,Lapeer,"Lapeer, MI"
1278,26089,Leelanau,"Leelanau, MI"
1279,26091,Lenawee,"Lenawee, MI"
1280,26093,Livingston,"Livingston, MI"
1281,26095,Luce,"Luce, MI"
1282,26097,Mackinac,"Mackinac, MI"
1283,26099,Macomb,"Macomb, MI"
1284,26101,Manistee,"Manistee, MI"
1285,26103,Marquette,"Marquette, MI"
1286,26105,Mason,"Mason, MI"
1287,26107,Mecosta,"Mecosta, MI"
1288,26109,Menominee,"Menominee, MI"
1289,26111,Midland,"Midland, MI"
1290,26113,Missaukee,"Missaukee, MI"
1291,26115,Monroe,"Monroe, MI"
1292,26117,Montcalm,"Montcalm, MI"
1293,26119,Montmorency,"Montmorency, MI"
1294,26121,Muskegon,"Muskegon, MI"
1295,26123,Newaygo,"Newaygo, MI"
1296,26125,Oakland,"Oakland, MI"
1297,26127,Oceana,"Oceana, MI"
1298,26129,Ogemaw,"Ogemaw, MI"
1299,26131,Ontonagon,"Ontonagon, MI"
1300,26133,Osceola,"Osceola, MI"
1301,26135,Oscoda,"Oscoda, MI"
1302,26137,Otsego,"Otsego, MI"
1303,26139,Ottawa,"Ottawa, MI"
1304,26141,Presque Isle,"Presque Isle, MI"
1305,26143,Roscommon,"Roscommon, MI"
1306,26145,Saginaw,"Saginaw, MI"
1307,26147,St. Clair,"St. Clair, MI"
1308,26149,St. Joseph,"St. Joseph, MI"
1309,26151,Sanilac,"Sanilac, MI"
1310,26153,Schoolcraft,"Schoolcraft, MI"
1311,26155,Shiawassee,"Shiawassee, MI"
1312,26157,Tuscola,"Tuscola, MI"
1313,26159,Van Buren,"Van Buren, MI"
1314,26161,Washtenaw,"Washtenaw, MI"
1315,26163,Wayne,"Wayne, MI"
1316,26165,Wexford,"Wexford, MI"
1317,27001,Aitkin,"Aitkin, MN"
1318,27003,Anoka,"Anoka, MN"
1319,27005,Becker,"Becker, MN"
1320,27007,Beltrami,"Beltrami, MN"
1321,27009,Benton,"Benton, MN"
1322,27011,Big Stone,"Big Stone, MN"
1323,27013,Blue Earth,"Blue Earth, MN"
1324,27015,Brown,"Brown, MN"
